No.,TAB ID (SOFA),Plant,Family,,tropicos species,tropicos family
8183,TYP5_03500,,Manihot esculenta,8183,Manihot esculenta,Euphorbiaceae
8184,TYP5_03501,,Manihot utilissima,8184,Medemia nobilis,Arecaceae
8185,TYP5_03535,,Medemia nobilis,8185,Not found,Anacardiaceae
8186,TYP5_03542,,Melanorrhoea pubescens,8186,Melia azedarach,Meliaceae
8187,TYP5_03545,Mimusops commersonii,Melia azedarach,8187,Mimusops coriacea,Sapotaceae
8188,Typ5_03601,Mirabilis jalapa,Sapotaceae,8188,Mirabilis jalapa,Nyctaginaceae
8189,Typ5_03609,Mucuna prurita,Nyctaginaceae,8189,Mucuna pruriens var. pruriens,Fabaceae
8190,Typ5_03691,Ochna squarrosa,Leguminosae,8190,Discladium squarrosum,Ochnaceae
8191,Typ5_03925,Ochna squarrosa,Ochnaceae,8191,Discladium squarrosum,Ochnaceae
8192,Typ5_03927,Caloncoba echinata,Ochnaceae,8192,Caloncoba echinata,Achariaceae
8193,Typ5_03939,Prunus persica,Flacourtiaceae,8193,Prunus persica,Rosaceae
8194,TYP5_03993,Prunus persica,Rosaceae,8194,Prunus persica,Rosaceae
8195,TYP5_03995,Prunus persica,Rosaceae,8195,Prunus persica,Rosaceae
8196,TYP5_03996,Prunus armeniaca,Rosaceae,8196,Armeniaca vulgaris var. vulgaris,Rosaceae
8197,TYP5_04034,Prunus armeniaca,Rosaceae,8197,Armeniaca vulgaris var. vulgaris,Rosaceae
8198,TYP5_04052,Prunus armeniaca,Rosaceae,8198,Armeniaca vulgaris var. vulgaris,Rosaceae
8199,TYP5_04053,Oenothera biennis L.,Rosaceae,8199,Oenothera biennis,Onagraceae
8200,Typ5_04255,Orbignya martiana,Onagraceae,8200,Attalea speciosa,Arecaceae
8201,Typ5_04434,Parkinsonia aculeata,Palmae,8201,Parkinsonia aculeata,Fabaceae
8202,TYP5_04612,Passiflora foetida,LEGUMINOSAE-CAESALPINIOIDEAE,8202,Passiflora foetida,Passifloraceae
8203,TYP5_04626,Pavonia hastata,PASSIFLORACEAE,8203,Pavonia hastata,Malvaceae
8204,TYP5_04639,Peltophorum ferrugineum,MALVACEAE,8204,Peltophorum pterocarpum,Fabaceae
8205,TYP5_04651,Phoenix sylvestris,LEGUMINOSAE-CAESALPINIOIDEAE,8205,Phoenix sylvestris,Arecaceae
8206,TYP5_04779,Pimelea decora Domin,PALMAE,8206,Pimelea decora,Thymelaeaceae
8207,TYP5_04823,Pimelea linifolia,THYMELAEACEAE,8207,Pimelea linifolia,Thymelaeaceae
8208,TYP5_04824,Pithecellobium dulce,THYMELAEACEAE,8208,Pithecellobium dulce,Fabaceae
8209,TYP5_04911,Pithecellobium saman,LEGUMINOSAE-MIMOSOIDEAE,8209,Samanea saman,Fabaceae
8210,TYP5_04917,Pouteria australis,LEGUMINOSAE-MIMOSOIDEAE,8210,Xantolis australis,Sapotaceae
8211,TYP5_04918,Planchonella myrsinoides,SAPOTACEAE,8211,Xantolis myrsinoides,Sapotaceae
8212,TYP5_04919,Plantago lanceolata,OCHNACEAE,8212,Plantago lanceolata,Plantaginaceae
8213,TYP5_04922,Plantago major,PLANTAGINACEAE,8213,Plantago major,Plantaginaceae
8214,TYP5_04924,Plantago media,PLANTAGINACEAE,8214,Plantago media,Plantaginaceae
8215,TYP5_04927,Pouteria wakere,PLANTAGINACEAE,8215,Xantolis wakere,Sapotaceae
8216,TYP5_04971,Pouteria wakere,Sapotaceae,8216,Xantolis wakere,Sapotaceae
8217,TYP5_04972,Prunus sp.,SAPOTACEAE,8217,Prunus sp.,Rosaceae
8218,TYP5_05028,Prunus,ROSACEAE,8218,Prunus sp.,Rosaceae
8219,TYP5_05029,Salvia plebeia,ROSACEAE,8219,Salvia plebeia,Lamiaceae
8220,TYP5_05061,Salvia plebeia,LABIATAE,8220,Salvia plebeia,Lamiaceae
8221,TYP5_05116,Schinus molle,LABIATAE,8221,Schinus molle,Anacardiaceae
8222,TYP5_05281,Schinus molle,ANACARDIACEAE,8222,Schinus molle,Anacardiaceae
8223,TYP5_05282,Secale cereale,ANACARDIACEAE,8223,Secale cereale,Poaceae
8224,TYP5_05334,Sophora tomentosa,GRAMINEAE,8224,Sophora tomentosa,Fabaceae
8225,TYP5_05650,Stachytarpheta angustifolia,LEGUMINOSAE-PAPILIONOIDEAE,8225,Stachytarpheta angustifolia,Verbenaceae
8226,TYP5_05693,Sterculia guttata,VERBENACEAE,8226,Sterculia sp.,Malvaceae
8227,TYP5_05702,Sterculia monosperma,STERCULIACEAE,8227,Sterculia monosperma,Malvaceae
8228,TYP5_05703,Sterculia villosa,STERCULIACEAE,8228,Sterculia villosa,Malvaceae
8229,TYP5_05717,Thevetia neriifolia,STERCULIACEAE,8229,Thevetia neriifolia,Apocynaceae
8230,TYP5_05838,Thevetia peruviana,APOCYNACEAE,8230,Thevetia peruviana,Apocynaceae
8231,TYP5_05840,Torreya nucifera,APOCYNACEAE,8231,Torreya nucifera,Taxaceae
8232,TYP5_05884,Tragia involucrata,TAXACEAE,8232,Tragia hispida,Euphorbiaceae
8233,TYP5_05896,Trigonella foenum-graecum,EUPHORBIACEAE,8233,Trigonella foenum-graecum,Fabaceae
8234,TYP5_05933,Zanthoxylum alatum,LEGUMINOSAE-PAPILIONOIDEAE,8234,Zanthoxylum armatum,Rutaceae
8235,TYP5_06179,Psophocarpus tetragonolobus (L.) DC,RUTACEAE,8235,Psophocarpus tetragonolobus,Fabaceae
8236,TYP5_06374,Pyriluma sphaerocarpum,LEGUMINOSAE-PAPILIONOIDEAE,8236,Pyriluma sphaerocarpa,Sapotaceae
8237,TYP5_06399,Radyera farragei,SAPOTACEAE,8237,Not found,Malvaceae
8238,TYP5_06414,Raphia ruffia,MALVACEAE,8238,Raphia farinifera,Arecaceae
8239,TYP5_06432,Plantago major,PALMAE,8239,Plantago major,Plantaginaceae
8240,TYP5_06574,Rulingia corylifolia,PLANTAGINACEAE,8240,Not found,Anacampserotaceae
8241,TYP5_06773,Taraktogenos kurzii,STERCULIACEAE,8241,Hydnocarpus kurzii,Achariaceae
8242,TYP5_06870,Thalictrum spp.,FLACOURTIACEAE,8242,Thalictrum sp.,Ranunculaceae
8243,TYP5_06900,Solanum lycopersicum,RANUNCULACEAE,8243,Solanum lycopersicum,Solanaceae
8244,TYP5_07595,Pistacia atlantica ssp. mutica,SOLANACEAE,8244,Pistacia mutica,Anacardiaceae
8245,TYP5_07720,Pistacia atlantica ssp. kurdica,ANACARDIACEAE,8245,Pistacia eurycarpa,Anacardiaceae
8246,TYP5_07721,Pistacia chinensis,ANACARDIACEAE,8246,Pistacia chinensis,Anacardiaceae
8247,TYP5_07722,Heritiera actinophylla,ANACARDIACEAE,8247,Heritiera sp.,Malvaceae
8248,TYP5_07844,Gnetum gnemon,STERCULIACEAE,8248,Gnetum gnemon,Gnetaceae
8249,TYP5_08685,Hibiscus esculentus,GNETACEAE,8249,Abelmoschus esculentus,Malvaceae
8250,TYP5_08825,Mucuna prurita,MALVACEAE,8250,Mucuna pruriens var. pruriens,Fabaceae
8251,TYP5_11649,Aegle marmelos,LEGUMINOSAE-PAPILIONOIDEAE,8251,Aegle marmelos,Rutaceae
8252,TYP5_11652,Lupinus,RUTACEAE,8252,Lupinus sp.,Fabaceae
8253,TYP5_11718,Mangifera indica,LEGUMINOSAE-PAPILIONOIDEAE,8253,Mangifera indica,Anacardiaceae
8254,TYP5_11742,Aleurites fordii,ANACARDIACEAE,8254,Vernicia fordii,Euphorbiaceae
8255,TAB_00028,Calendula officinalis,Euphorbiaceae,8255,Calendula officinalis,Asteraceae
8256,TAB_00320,Catalpa ovata,Compositae,8256,Catalpa ovata,Bignoniaceae
8257,TAB_00414,Clerodendrum inerme,Bignoniaceae,8257,Clerodendrum inerme,Lamiaceae
8258,TAB_00491,Clinopodium vulgare L.,Verbenaceae,8258,Clinopodium vulgare,Lamiaceae
8259,TAB_00492,Clinopodium vulgare L.,Labiatae,8259,Clinopodium vulgare,Lamiaceae
8260,TAB_00493,Cuphea glossostoma,Labiatae,8260,Cuphea glossostoma,Lythraceae
8261,TAB_00622,Cuphea inflata,Lythraceae,8261,Cuphea inflata,Lythraceae
8262,TAB_00631,Cuphea laminuligera,Lythraceae,8262,Cuphea laminuligera,Lythraceae
8263,TAB_00643,Cuphea lanceolata,Lythraceae,8263,Cuphea lanceolata,Lythraceae
8264,TAB_00645,Cuphea leptopoda,Lythraceae,8264,Cuphea leptopoda,Lythraceae
8265,TAB_00648,Cuphea lutea,Lythraceae,8265,Cuphea lutea,Lythraceae
8266,TAB_00656,Cuphea procumbens,Lythraceae,8266,Cuphea procumbens,Lythraceae
8267,TAB_00677,Cuphea tolucana,Lythraceae,8267,Cuphea tolucana,Lythraceae
8268,TAB_00698,Cuphea wrightii,Lythraceae,8268,Cuphea wrightii,Lythraceae
8269,TAB_00709,,Lythraceae,8269,Malania oleifera,Oleaceae
8270,TAB_01221,Momordica charantia,Malania oleifera,8270,Momordica charantia,Cucurbitaceae
8271,TAB_01263,,Cucurbitaceae,8271,Not found,Not found
8272,TYP?_03464,Prunus sp.,Malania oleifera,8272,Prunus sp.,Rosaceae
8273,TYP1_00447,Punica granatum,Rosaceae,8273,Punica granatum,Lythraceae
8274,TYP1_00471,Rubus idaeus L.,Punicaceae,8274,Rubus idaeus,Rosaceae
8275,TYP1_00560,,Rosaceae,8275,Not found,Not found
8276,TYP1_01473,Albugo candida,Lolium multiflorum Lam.,8276,Albuca sp.,Asparagaceae
8277,TYP1_01536,Aleurites fordii,,8277,Vernicia fordii,Euphorbiaceae
8278,TYP1_01538,Apodanthera undulata Gray,Euphorbiaceae,8278,Apodanthera undulata,Cucurbitaceae
8279,TYP1_01543,Holarrhena antidlysenterica,Cucurbitaceae,8279,Walidda antidysenterica,Apocynaceae
8280,TYP1_02750,Adansonia grandidieri,Apocynaceae,8280,Adansonia grandidieri,Malvaceae
8281,TYP5_00165,Adansonia grandidieri,Bombacaceae,8281,Adansonia grandidieri,Malvaceae
8282,TYP5_00166,Adansonia grandidieri,Bombacaceae,8282,Adansonia grandidieri,Malvaceae
8283,TYP5_00167,Adansonia suarezensis,Bombacaceae,8283,Adansonia suarezensis,Malvaceae
8284,TYP5_00168,Adhatoda vasica,Bombacaceae,8284,Justicia adhatoda,Acanthaceae
8285,TYP5_00205,Adhatoda vasica,Acanthaceae,8285,Justicia adhatoda,Acanthaceae
8286,TYP5_00206,Anacardium occidentale,Acanthaceae,8286,Anacardium occidentale,Anacardiaceae
8287,TYP5_00410,Aphananthe aspera,Anacardiaceae,8287,Aphananthe aspera,Cannabaceae
8288,TYP5_00480,Argania spinosa,Ulmaceae,8288,Argania spinosa,Sapotaceae
8289,TYP5_00528,Asphodelus tenuifolius,Sapotaceae,8289,Asphodelus fistulosus var. tenuifolius,Xanthorrhoeaceae
8290,TYP5_00583,Baliospermum axillare,Liliaceae,8290,Baliospermum solanifolium,Euphorbiaceae
8291,TYP5_00738,Bauhinia racemosa,Euphorbiaceae,8291,Bauhinia racemosa,Fabaceae
8292,TYP5_00764,Boehmeria longispica,Leguminosae,8292,Boehmeria japonica,Urticaceae
8293,TYP5_00815,Boehmeria nivea,Urticaceae,8293,Boehmeria nivea,Urticaceae
8294,TYP5_00816,Boehmeria spicata,Urticaceae,8294,Boehmeria spicata,Urticaceae
8295,TYP5_00817,Brassica campestris var. Candle,Urticaceae,8295,Brassica rapa,Brassicaceae
8296,TYP5_00869,Brassica nigra,Cruciferae,8296,Brassica nigra,Brassicaceae
8297,TYP5_00912,Brassica oleracea,Cruciferae,8297,Brassica oleracea,Brassicaceae
8298,TYP5_00922,Brassica torne fortii,Cruciferae,8298,Brassica sp.,Brassicaceae
8299,TYP5_00959,Brochoneura freneei,,8299,Not found,Myristicaceae
8300,TYP5_00979,Calotropis procera,Myristicaeae,8300,Calotropis procera,Apocynaceae
8301,Typ5_01098,Carica papaya,Asclepiadaceae,8301,Carica papaya,Caricaceae
8302,Typ5_01220,Carthamus oxycantha,Caricaceae,8302,Carthamus sp.,Asteraceae
8303,Typ5_01235,Carthamus tinctorius,Compositae,8303,Carthamus tinctorius,Asteraceae
8304,Typ5_01247,Carthamus tinctorius,Compositae,8304,Carthamus tinctorius,Asteraceae
8305,Typ5_01248,Carthamus tinctorius,Compositae,8305,Carthamus tinctorius,Asteraceae
8306,Typ5_01249,Carthamus tinctorius,Compositae,8306,Carthamus tinctorius,Asteraceae
8307,Typ5_01250,Carthamus tinctorius,Compositae,8307,Carthamus tinctorius,Asteraceae
8308,Typ5_01251,Carthamus tinctorius,Compositae,8308,Carthamus tinctorius,Asteraceae
8309,Typ5_01252,Carthamus tinctorius,Compositae,8309,Carthamus tinctorius,Asteraceae
8310,Typ5_01285,Celastrus paniculatus,Compositae,8310,Celastrus paniculatus,Celastraceae
8311,Typ5_01397,Celtis bungeana,Celastraceae,8311,Celtis bungeana,Cannabaceae
8312,Typ5_01403,Celtis julianae,Ulmaceae,8312,Celtis julianae,Cannabaceae
8313,Typ5_01404,Celtis chekiangensis,Ulmaceae,8313,Celtis chekiangensis,Cannabaceae
8314,Typ5_01405,Celtis koraiensis,Ulmaceae,8314,Celtis koraiensis,Cannabaceae
8315,Typ5_01406,Celtis labilis,Ulmaceae,8315,Celtis sinensis,Cannabaceae
8316,Typ5_01407,Celtis sinensis,Ulmaceae,8316,Celtis sinensis,Cannabaceae
8317,Typ5_01409,Celtis tetrandra,Ulmaceae,8317,Celtis tetrandra,Cannabaceae
8318,Typ5_01412,Centranthus macrosiphon,Ulmaceae,8318,Centranthus macrosiphon,Caprifoliaceae
8319,Typ5_01419,Chaetachme microcarpa,Valerianaceae,8319,Not found,Ulmaceae
8320,TYP5_01474,Chelonias mydas,Ulmaceae,8320,Helonias sp.,Melanthiaceae
8321,TYP5_01485,Chozophora plicata,,8321,Chrozophora plicata,Euphorbiaceae
8322,TYP5_01510,Chozophora rottleri,Euphorbiaceae,8322,Chrozophora plicata,Euphorbiaceae
8323,TYP5_01511,Cisternum divernum,Euphorbiaceae,8323,Not found,Asteraceae
8324,TYP5_01564,Clitoria ternatea,Solanaceae,8324,Clitoria ternatea,Fabaceae
8325,TYP5_01635,Kokosnuss,Leguminosae,8325,Cocos nucifera,Arecaceae 
8326,TYP5_01676,Kokosnuss,Palmae,8326,Cocos nucifera,Arecaceae 
8327,TYP5_01677,Koriander,Palmae,8327,Coriandrum sativum,Apiaceae
8328,TYP5_01782,Koriander,Coriandrum sativum,8328,Coriandrum sativum,Apiaceae
8329,TYP5_01783,Koriander,Coriandrum sativum,8329,Coriandrum sativum,Apiaceae
8330,TYP5_01784,Koriander,Coriandrum sativum,8330,Coriandrum sativum,Apiaceae
8331,TYP5_01785,Koriander,Coriandrum sativum,8331,Coriandrum sativum,Apiaceae
8332,TYP5_01786,Cuphea painteri,Coriandrum sativum,8332,Cuphea painteri,Lythraceae
8333,TYP5_01971,Cuphea palustris,Lythraceae,8333,Cuphea palustris,Lythraceae
8334,TYP5_01976,Cuphea paucipetala,Lythraceae,8334,Cuphea paucipetala,Lythraceae
8335,TYP5_01983,Cuphea racemosa,Lythraceae,8335,Cuphea racemosa,Lythraceae
8336,TYP5_01995,Cyamopsis tetragonoloba,Lythraceae,8336,Cyamopsis tetragonoloba,Fabaceae
8337,TYP5_02005,Delphinium denudatum,Leguminosae,8337,Delphinium denudatum,Ranunculaceae
8338,TYP5_02094,Curcurbitaceae,Ranunculaceae,8338,Diplocyclos palmatus,Cucurbitaceae
8339,TYP5_02143,Durio zibethinus,Diplocylcos palmatus,8339,Durio zibethinus,Malvaceae
8340,TYP5_02197,Durio zibethinus,Bombaceae,8340,Durio zibethinus,Malvaceae
8341,TYP5_02198,Durio zibethinus,Bombaceae,8341,Durio zibethinus,Malvaceae
8342,TYP5_02199,Durio zibethinus,Bombaceae,8342,Durio zibethinus,Malvaceae
8343,TYP5_02200,Echium italicum,Bombaceae,8343,Echium biebersteinii,Boraginaceae
8344,TYP5_02221,Elaeis guineensis,Boraginaceae,8344,Elaeis guineensis,Arecaceae
8345,TYP5_02233,Erysimum odoratum,Palmae,8345,Erysimum odoratum,Brassicaceae
8346,TYP5_02326,Erysimum pulchellum,Cruciferae,8346,Erysimum pulchellum,Brassicaceae
8347,TYP5_02330,Erythrina suberosa,Cruciferae,8347,Erythrina suberosa,Fabaceae
8348,TYP5_02348,Euchema spinosum,Leguminosae,8348,Castilleja sp.,Orobanchaceae
8349,TYP5_02358,Euglena graeilis,Myrtaceae,8349,Eugenia gracilis,Myrtaceae
8350,TYP5_02359,Euphorbia geniculata,Myrtaceae,8350,Euphorbia heterophylla,Euphorbiaceae
8351,TYP5_02378,Euphorbia geniculata,Euphorbiaceae,8351,Euphorbia heterophylla,Euphorbiaceae
8352,TYP5_02379,Euphorbia lagascae,Euphorbiaceae,8352,Tithymalus lagascae,Euphorbiaceae
8353,TYP5_02389,Evolvulus nummulari,Euphorbiaceae,8353,Evolvulus nummularius,Convolvulaceae
8354,TYP5_02423,Fimbristylis quinqueangularis,Convolvulaceae,8354,Fimbristylis quinquangularis,Cyperaceae
8355,TYP5_02476,Gelonium multiflorum,Cyperaceae,8355,Suregada multiflora,Euphorbiaceae
8356,TYP5_02542,Gironniera subaequalis,Euphorbiaceae,8356,Gironniera subaequalis,Cannabaceae
8357,TYP5_02547,Gossyrium hirsutum,Ulmaceae,8357,Gossypium hirsutum,Malvaceae
8358,TYP5_02588,Heliotropium eichwaldi,Malvaceae,8358,Heliotropium sp.,Boraginaceae
8359,TYP5_02673,Heliotropium indicum,Boraginaceae,8359,Heliotropium indicum,Boraginaceae
8360,TYP5_02677,Heliotropium strigosum,Boraginaceae,8360,Heliotropium strigosum,Boraginaceae
8361,TYP5_02680,Heliotropium supinum,Boraginaceae,8361,Heliotropium supinum,Boraginaceae
8362,TYP5_02683,Hemicrambe fruiticulosa,Boraginaceae,8362,Hemicrambe fruticulosa,Brassicaceae
8363,TYP5_02689,Hemiptelea davidii,Cruciferae,8363,Hemiptelea davidii,Ulmaceae
8364,TYP5_02690,Holoptelia integrifolia,Ulmaceae,8364,Not found,Ulmaceae
8365,TYP5_02758,Hosta Longipes,,8365,Hosta sp.,Asparagaceae
8366,TYP5_02775,Hydnocarpus kurzii,Liliaceae,8366,Hydnocarpus kurzii,Achariaceae
8367,TYP5_02796,,Flacourtiaceae,8367,Oenocarpus bataua,Arecaceae
8368,TYP5_02942,,Jessenia bataua,8368,Justicia adhatoda,Acanthaceae
8369,TYP5_02979,,Justicia adhatoda,8369,Lepidium sativum,Brassicaceae
8370,TYP5_03124,,Lepidium sativum,8370,Macadamia ternifolia,Proteaceae
8371,TYP5_03396,,Macadamia ternifolia,8371,Not found,Not found
8372,TYP5_03408,,?Macroaystis pyrifera,8372,Not found,Not found
8373,TYP5_03409,,?Macroaystis pyriformis,8373,Madhuca longifolia var. latifolia,Sapotaceae
8374,TYP5_03427,,Madhuca latifolia,8374,Madhuca longifolia var. latifolia,Sapotaceae
8375,TYP5_03428,,Madhuca latifolia,8375,Malva sylvestris,Malvaceae
8376,TYP5_03497,Moringa hildebrantii,Malva sylvestris L.,8376,Moringa hildebrandtii,Moringaceae
8377,Typ5_03670,Morus alba,Moringaceae,8377,Morus alba,Moraceae
8378,Typ5_03675,Morus alba,Moraceae,8378,Morus alba,Moraceae
8379,Typ5_03676,Morus alba,Moraceae,8379,Morus alba,Moraceae
8380,Typ5_03677,Mucuna prurita,Moraceae,8380,Mucuna pruriens var. pruriens,Fabaceae
8381,Typ5_03690,Ochna squarrosa,Fabaceae,8381,Discladium squarrosum,Ochnaceae
8382,Typ5_03926,Punica granatum,Ochnaceae,8382,Punica granatum,Lythraceae
8383,TYP5_03958,Chrysobalanus icaco,Punicaceae,8383,Chrysobalanus icaco,Chrysobalanaceae
8384,TYP5_04002,Licania rigida,Chrysobalanaceae,8384,Licania rigida,Chrysobalanaceae
8385,TYP5_04003,Licania rigida,Chrysobalanaceae,8385,Licania rigida,Chrysobalanaceae
8386,TYP5_04004,Parinarium annamense,Chrysobalanaceae,8386,Not found,Chrysobalanaceae
8387,TYP5_04005,Parinarium insularium,Chrysobalanaceae,8387,Not found,Chrysobalanaceae
8388,TYP5_04006,Parinarium laurinum,Chrysobalanaceae,8388,Cyclandrophora laurina,Chrysobalanaceae
8389,TYP5_04007,Parinarium laurinum,Chrysobalanaceae,8389,Cyclandrophora laurina,Chrysobalanaceae
8390,TYP5_04008,Parinarium macrophyllum,Chrysobalanaceae,8390,Neocarya macrophylla,Chrysobalanaceae
8391,TYP5_04009,Valerianceae yeodensis,Chrysobalanaceae,8391,Not found,Not found
8392,TYP5_04010,Valerianceae macrosiphon,Chrysobalanaceae,8392,Not found,Not found
8393,TYP5_04011,Ricinus communis,Chrysobalanaceae,8393,Ricinus communis,Euphorbiaceae
8394,TYP5_04061,Oenocarpus circumtextus,Euphorbiaceae,8394,Oenocarpus circumtextus,Arecaceae
8395,Typ5_04240,Oenocarpus discolor,Palmae,8395,Oenocarpus distichus,Arecaceae
8396,Typ5_04241,Oenocarpus distichus,Palmae,8396,Oenocarpus distichus,Arecaceae
8397,Typ5_04242,Oenocarpus tarampabo,Palmae,8397,Oenocarpus distichus,Arecaceae
8398,Typ5_04248,Agonandra brasiliensis,Palmae,8398,Agonandra brasiliensis,Opiliaceae
8399,Typ5_04329,Ongokea gore,Olacaceae,8399,Ongokea gore,Olacaceae
8400,Typ5_04330,Ongokea gore,Olacaceae,8400,Ongokea gore,Olacaceae
8401,Typ5_04331,Ongokea gore,Olacaceae,8401,Ongokea gore,Olacaceae
8402,Typ5_04332,Ximenia americana,Olacaceae,8402,Ximenia americana,Ximeniaceae
8403,Typ5_04333,Ximenia americana,Olacaceae,8403,Ximenia americana,Ximeniaceae
8404,Typ5_04334,Panax ginseng,Olacaceae,8404,Panax ginseng,Araliaceae
8405,Typ5_04501,Cuspidaria pterocarpa,Araliaceae,8405,Cuspidaria convoluta,Bignoniaceae
8406,Typ5_04513,Doxantha unguis-cati,Bignoniaceae,8406,Macfadyena unguis-cati,Bignoniaceae
8407,Typ5_04514,Argemone mexicana,Bignoniaceae,8407,Argemone mexicana,Papaveraceae
8408,Typ5_04515,Argemone mexicana,Papaveraceae,8408,Argemone mexicana,Papaveraceae
8409,Typ5_04516,Argemone mexicana,Papaveraceae,8409,Argemone mexicana,Papaveraceae
8410,Typ5_04517,Pavonia sepium,Papaveraceae,8410,Pavonia sepium,Malvaceae
8411,TYP5_04640,Peganum harmala,MALVACEAE,8411,Peganum harmala,Nitrariaceae
8412,TYP5_04645,Pennisetum americanum,ZYGOPHYLLACEAE,8412,Pennisetum glaucum,Poaceae
8413,TYP5_04657,Pennisetum clandestinum,GRAMINEAE,8413,Pennisetum clandestinum,Poaceae
8414,TYP5_04660,Pentaclethra macrophylla,GRAMINEAE,8414,Pentaclethra macrophylla,Fabaceae
8415,TYP5_04671,Persea gratissima,LEGUMINOSAE-MIMOSOIDEAE,8415,Persea sp.,Lauraceae
8416,TYP5_04721,Phyllanthus niruri,LAURACEAE,8416,Phyllanthus niruri,Phyllanthaceae
8417,TYP5_04785,Pisum sativum,EUPHORBIACEAE,8417,Pisum sativum,Fabaceae
8418,TYP5_04904,Planera aquatica,LEGUMINOSAE-PAPILIONOIDEAE,8418,Planera aquatica,Ulmaceae
8419,TYP5_04920,Plantago major,ULMACEAE,8419,Plantago major,Plantaginaceae
8420,TYP5_04926,Pogostemon plactranthoides,PLANTAGINACEAE,8420,Pogostemon benghalensis,Lamiaceae
8421,TYP5_04946,Beauprea neglecta,LABIATAE,8421,Not found,Proteaceae
8422,TYP5_04998,Cardwellia sublimis,PROTEACEAE,8422,Not found,Proteaceae
8423,TYP5_04999,Cenarrhenes nitida,PROTEACEAE,8423,Not found,Proteaceae
8424,TYP5_05000,Embothrium coccinium,PROTEACEAE,8424,Embothrium coccineum,Proteaceae
8425,TYP5_05001,Gevuina avellana,PROTEACEAE,8425,Gevuina avellana,Proteaceae
8426,TYP5_05002,Grevillea robusta,PROTEACEAE,8426,Grevillea robusta,Proteaceae
8427,TYP5_05003,Hakea salicifolia,PROTEACEAE,8427,Hakea salicifolia,Proteaceae
8428,TYP5_05004,Hicksbeachia pinnatifolia,PROTEACEAE,8428,Not found,Proteaceae
8429,TYP5_05005,Kermadecia sinuata,PROTEACEAE,8429,Not found,Proteaceae
8430,TYP5_05006,Lomatia hirsuta,PROTEACEAE,8430,Lomatia hirsuta,Proteaceae
8431,TYP5_05007,Macadamia integrifolia,PROTEACEAE,8431,Macadamia integrifolia,Proteaceae
8432,TYP5_05008,Macadamia ternifolia,PROTEACEAE,8432,Macadamia ternifolia,Proteaceae
8433,TYP5_05009,Orites diversifolia,PROTEACEAE,8433,Orites sp.,Proteaceae
8434,TYP5_05010,Orites revoluta,PROTEACEAE,8434,Orites sp.,Asteraceae
8435,TYP5_05011,Telopea speciosissima,PROTEACEAE,8435,Telopea speciosissima,Proteaceae
8436,TYP5_05012,Telopea truncata,PROTEACEAE,8436,Not found,Proteaceae
8437,TYP5_05013,Salvia polystachya,PROTEACEAE,8437,Salvia sp.,Lamiaceae
8438,TYP5_05062,Salvia genus L.,LABIATAE,8438,Salvia sp.,Asteraceae
8439,TYP5_05063,Salvia splendens,LABIATAE,8439,Salvia splendens,Lamiaceae
8440,TYP5_05064,Salvia officinalis,LABIATAE,8440,Salvia officinalis,Lamiaceae
8441,TYP5_05065,Salvia hispanica,LABIATAE,8441,Salvia hispanica,Lamiaceae
8442,TYP5_05089,Salvia nemorosa,LABIATAE,8442,Salvia nemorosa,Lamiaceae
8443,TYP5_05110,Salvia officinalis,LABIATAE,8443,Salvia officinalis,Lamiaceae
8444,TYP5_05114,Salvia plebeia,LABIATAE,8444,Salvia plebeia,Lamiaceae
8445,TYP5_05119,Salvia polystachya,LABIATAE,8445,Salvia sp.,Lamiaceae
8446,TYP5_05121,Salvia pratensis L.,LABIATAE,8446,Salvia pratensis,Lamiaceae
8447,TYP5_05123,Salvia przewalski Maxim.,LABIATAE,8447,Salvia sp.,Lamiaceae
8448,TYP5_05124,Salvia regeliana L.,LABIATAE,8448,Salvia sp.,Lamiaceae
8449,TYP5_05126,Salvia sclarea,LABIATAE,8449,Salvia sclarea,Lamiaceae
8450,TYP5_05132,Salvia splendens Sellow.,LABIATAE,8450,Salvia splendens,Lamiaceae
8451,TYP5_05138,Dodonaea boroniifolia,LABIATAE,8451,Dodonaea sp.,Sapindaceae
8452,TYP5_05174,Dodonaea petiolaris,SAPINDACEAE,8452,Dodonaea sp.,Sapindaceae
8453,TYP5_05175,Dodonaea triquetra,SAPINDACEAE,8453,Dodonaea sp.,Sapindaceae
8454,TYP5_05176,Dodonaea truncatiales,SAPINDACEAE,8454,Dodonaea sp.,Sapindaceae
8455,TYP5_05177,Dodonaea viscosa,SAPINDACEAE,8455,Dodonaea viscosa,Sapindaceae
8456,TYP5_05178,Euphoria longana,SAPINDACEAE,8456,Dimocarpus longan,Sapindaceae
8457,TYP5_05179,Jagera pseudorhus,SAPINDACEAE,8457,Jagera pseudorhus,Asteraceae
8458,TYP5_05180,Kolereuteria elegans,SAPINDACEAE,8458,Koelreuteria elegans,Sapindaceae
8459,TYP5_05181,Litchi sinensis,SAPINDACEAE,8459,Litchi sinensis,Sapindaceae
8460,TYP5_05182,Litchi sinensis,SAPINDACEAE,8460,Litchi sinensis,Sapindaceae
8461,TYP5_05183,Litchi sinensis,SAPINDACEAE,8461,Litchi sinensis,Sapindaceae
8462,TYP5_05184,Planchonella australis,SAPINDACEAE,8462,Xantolis australis,Sapotaceae
8463,TYP5_05221,Planchonella myrsinoides,OCHNACEAE,8463,Xantolis myrsinoides,Sapotaceae
