Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
Liliaceae Agapanthus umbellatus	Agapanthus umbellatus		1	Illegitimate	Crinum africanum	L.	Amaryllidaceae	tropicos	 		11387
Rosaceae Agrimonia asiatica Juz.	Agrimonia asiatica	Juz.	1	Synonym	Agrimonia eupatoria subsp. asiatica	(Juz.) Skalický	Rosaceae	tropicos	 		11388
Rosaceae Agrimonia procera	Agrimonia procera		1	Synonym	Agrimonia odorata	Mill.	Rosaceae	tropicos	 		11389
Palmae Acrocomia totai	Acrocomia totai		1	Synonym	Acrocomia aculeata	(Jacq.) Lodd. ex Mart.	Arecaceae	tropicos	 		11390
Amaranthaceae Amaranthus ascendens	Amaranthus ascendens		1	Synonym	Amaranthus blitum	L.	Amaranthaceae	tropicos	 		11391
Amaranthaceae Amaranthus blitum	Amaranthus blitum		1	Accepted	Amaranthus blitum	L.	Amaranthaceae	tropicos;usda	 		11392
Amaranthaceae Amaranthus caudatus	Amaranthus caudatus		1	Accepted	Amaranthus caudatus	L.	Amaranthaceae	tropicos;usda	 		11393
Amaranthaceae Amaranthus cruentus	Amaranthus cruentus		1	Accepted	Amaranthus cruentus	L.	Amaranthaceae	tropicos;usda	 		11394
Amaranthaceae Amaranthus dubius	Amaranthus dubius		1	Accepted	Amaranthus dubius	Mart. ex Thell.	Amaranthaceae	tropicos;usda	 		11395
Amaranthaceae Amaranthus gangeticus	Amaranthus gangeticus		1	Synonym	Amaranthus tricolor	L.	Amaranthaceae	tropicos;usda	 		11396
Amaranthaceae Amaranthus hybridus	Amaranthus hybridus		1	Accepted	Amaranthus hybridus	L.	Amaranthaceae	tropicos;usda	 		11397
Amaranthaceae Amaranthus hypochondriacus	Amaranthus hypochondriacus		1	Accepted	Amaranthus hypochondriacus	L.	Amaranthaceae	tropicos;usda	 		11398
Amaranthaceae Amaranthus paniculatus	Amaranthus paniculatus		1	Synonym	Amaranthus cruentus	L.	Amaranthaceae	tropicos;usda	 		11399
Amaranthaceae Amaranthus retroflexus	Amaranthus retroflexus		1	Accepted	Amaranthus retroflexus	L.	Amaranthaceae	tropicos;usda	 		11400
Leguminosae Amblygonocarpus androgensis	Amblygonocarpus andongensis		0.98	Accepted	Amblygonocarpus andongensis	(Welw. ex Oliv.) Exell & Torre	Fabaceae	tropicos	 		11401
Boraginaceae Amblynotus rupestris	Amblynotus rupestris		1	Accepted	Amblynotus rupestris	(Pall. ex Georgi) Popov ex Serg.	Boraginaceae	tropicos	 		11402
Labiatae Amethystea caerulea	Amethystea coerulea		0.99	Accepted	Amethystea coerulea	L.	Lamiaceae	tropicos	 		11403
Rosaceae Amygdalus bucharica Korsh.	Amygdalus bucharica	Korsh.	1	Accepted	Amygdalus bucharica	Korsh.	Rosaceae	tropicos	 		11404
Rosaceae Amygdalus communis L.	Amygdalus communis	L.	1	Accepted	Amygdalus communis	L.	Rosaceae	tropicos	 		11405
Rosaceae Amygdalus fenzliana (Fritsch) Lipsky	Amygdalus fenzliana	(Fritsch) Lipsky	1	Accepted	Amygdalus fenzliana	(Fritsch) Lipsky	Rosaceae	tropicos	 		11406
Rosaceae Amygdalus nana (L.) Stokes	Amygdalus nana	L.	0.92	Accepted	Amygdalus nana	L.	Rosaceae	tropicos	 		11407
Rosaceae Amygdalus persica L.	Amygdalus persica	L.	1	Accepted	Amygdalus persica	L.	Rosaceae	tropicos	 		11408
Rosaceae Amygdalus petounnicowii Litw.	Amygdalus petunnikowii	Litv.	0.91	No opinion				tropicos	 		11409
Rosaceae Amygdalus scoparia Spach.	Amygdalus scoparia	Spach	0.95	No opinion				tropicos	 		11410
Rosaceae Amygdalus spinossisima BGE	Amygdalus spinosissima	Bunge	0.91	No opinion				tropicos	 		11411
Rosaceae Amygdalus spinossisima Bunge	Amygdalus spinosissima	Bunge	0.99	No opinion				tropicos	 		11412
Rosaceae Amygdalus turcomanica Lincz.	Amygdalus turcomanica	Lincz.	1	Accepted	Amygdalus turcomanica	Lincz.	Rosaceae	tropicos	 		11413
