Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
LAURACEAE Phoebe sheareri	Phoebe sheareri		1	Accepted	Phoebe sheareri	(Hemsl.) Gamble	Lauraceae	tropicos	 		15556
PALMAE Phoenix dactylifera	Phoenix dactylifera		1	Accepted	Phoenix dactylifera	L.	Arecaceae	tropicos;usda	 		15557
PALMAE Phoenix reclinata	Phoenix reclinata		1	Accepted	Phoenix reclinata	Jacq.	Arecaceae	tropicos;usda	 		15558
PALMAE Phoenix sylvestris	Phoenix sylvestris		1	Accepted	Phoenix sylvestris	(L.) Roxb.	Arecaceae	tropicos;usda	 		15559
ROSACEAE Photinia glabra	Photinia glabra		1	Accepted	Photinia glabra	(Thunb.) Franch. & Sav.	Rosaceae	tropicos	 		15560
EUPHORBIACEAE Phyllanthus abnormis	Phyllanthus abnormis		1	Accepted	Phyllanthus abnormis	Baill.	Phyllanthaceae	tropicos;usda	 		15561
EUPHORBIACEAE Phyllanthus maderaspatensis	Phyllanthus maderaspatensis		1	Accepted	Phyllanthus maderaspatensis	L.	Phyllanthaceae	tropicos	 		15562
EUPHORBIACEAE Phyllanthus niruri	Phyllanthus niruri		1	Accepted	Phyllanthus niruri	L.	Phyllanthaceae	tropicos;usda	 		15563
SOLANACEAE Physalis maxima	Physalis maxima		1	Synonym	Physalis pruinosa	L.	Solanaceae	tropicos	 		15564
SOLANACEAE Physalis minima	Physalis minima		1	Accepted	Physalis minima	L.	Solanaceae	tropicos;usda	 		15565
SOLANACEAE Physalis nicandroides	Physalis nicandroides		1	Accepted	Physalis nicandroides	Schltdl.	Solanaceae	tropicos	 		15566
LABIATAE Physostegia virginiana	Physostegia virginiana		1	Accepted	Physostegia virginiana	(L.) Benth.	Lamiaceae	tropicos;usda	 		15567
PHYTOLACCACEAE Phytolacca americana	Phytolacca americana		1	Accepted	Phytolacca americana	L.	Phytolaccaceae	tropicos;usda	 		15568
PHYTOLACCACEAE Phytolacca decandra	Phytolacca decandra		1	Synonym	Phytolacca americana	L.	Phytolaccaceae	tropicos	 		15569
PINACEAE Picea engelmannii	Picea engelmannii		1	Accepted	Picea engelmannii	Parry ex Engelm.	Pinaceae	tropicos;usda	 		15570
PINACEAE Picea jezoensis	Picea jezoensis		1	Accepted	Picea jezoensis	(Siebold & Zucc.) Carrière	Pinaceae	tropicos	 		15571
PINACEAE Picea pungens	Picea pungens		1	Accepted	Picea pungens	Engelm.	Pinaceae	tropicos;usda	 		15572
APOCYNACEAE Picralima nitida	Picralima nitida		1	Accepted	Picralima nitida	(Stapf) T. Durand & H. Durand	Apocynaceae	tropicos	 		15573
COMPOSITAE Picris comosa	Picris comosa		1	No opinion				tropicos	 		15574
THYMELAEACEAE Pimelea decora Domin	Pimelea decora	Domin	1	Accepted	Pimelea decora	Domin	Thymelaeaceae	tropicos	 		15575
THYMELAEACEAE Pimelea linifolia	Pimelea linifolia		1	Accepted	Pimelea linifolia	Sm.	Thymelaeaceae	tropicos	 		15576
UMBELLIFERAE Pimpinella anisum	Pimpinella anisum		1	Accepted	Pimpinella anisum	L.	Apiaceae	tropicos;usda	 		15577
UMBELLIFERAE Pimpinella kotschyana	Pimpinella kotschyana		1	No opinion				tropicos	 		15578
UMBELLIFERAE Pimpinella diversifolia	Pimpinella diversifolia		1	Accepted	Pimpinella diversifolia	DC.	Apiaceae	tropicos	 		15579
UMBELLIFERAE Pimpinella major	Pimpinella major		1	Accepted	Pimpinella major	(L.) Huds.	Apiaceae	tropicos;usda	 		15580
UMBELLIFERAE Pimpinella peregrina	Pimpinella peregrina		1	Accepted	Pimpinella peregrina	L.	Apiaceae	tropicos	 		15581
UMBELLIFERAE Pimpinella saxifraga	Pimpinella saxifraga		1	Accepted	Pimpinella saxifraga	L.	Apiaceae	tropicos;usda	 		15582
UMBELLIFERAE Pimpinella stewartii	Pimpinella stewartii		1	Accepted	Pimpinella stewartii	Nasir	Apiaceae	tropicos	 		15583
UMBELLIFERAE Pimpinella thellungiana var. gustavobegiana	Pimpinella thellungiana		0.77	Accepted	Pimpinella thellungiana	H. Wolff	Apiaceae	tropicos	 [Partial match] 		15584
UMBELLIFERAE Pimpinella tragium	Pimpinella tragium		1	No opinion				tropicos	 		15585
PINACEAE Pinus albicaulis	Pinus albicaulis		1	Accepted	Pinus albicaulis	Engelm.	Pinaceae	tropicos;usda	 		15586
PINACEAE Pinus aristata	Pinus aristata		1	Accepted	Pinus aristata	Engelm.	Pinaceae	tropicos;usda	 		15587
PINACEAE Pinus armandii	Pinus armandii		1	Accepted	Pinus armandii	Franch.	Pinaceae	tropicos;usda	 		15588
PINACEAE Pinus bungeana	Pinus bungeana		1	Accepted	Pinus bungeana	Zucc. ex Endl.	Pinaceae	tropicos;usda	 		15589
PINACEAE Pinus cembroides	Pinus cembroides		1	Accepted	Pinus cembroides	Zucc.	Pinaceae	tropicos;usda	 		15590
PINACEAE Pinus contorta	Pinus contorta		1	Accepted	Pinus contorta	Douglas ex Loudon	Pinaceae	tropicos;usda	 		15591
PINACEAE Pinus densiflora	Pinus densiflora		1	Accepted	Pinus densiflora	Siebold & Zucc.	Pinaceae	tropicos;usda	 		15592
PINACEAE Pinus flexilis	Pinus flexilis		1	Accepted	Pinus flexilis	E. James	Pinaceae	tropicos	 		15593
PINACEAE Pinus henryi	Pinus henryi		1	Synonym	Pinus tabuliformis subsp. henryi	(Mast.) Businsky	Pinaceae	tropicos	 		15594
PINACEAE Pinus koraiensis	Pinus koraiensis		1	Accepted	Pinus koraiensis	Siebold & Zucc.	Pinaceae	tropicos;usda	 		15595
PINACEAE Pinus massoniana	Pinus massoniana		1	Accepted	Pinus massoniana	D. Don	Pinaceae	tropicos	 		15596
PINACEAE Pinus monophylla	Pinus monophylla		1	Accepted	Pinus monophylla	Torr. & Frém.	Pinaceae	tropicos;usda	 		15597
PINACEAE Pinus peuce Griseb. Cocha	Pinus peuce	Griseb.	0.94	Synonym	Strobus peuce	(Griseb.) Moldenke	Pinaceae	tropicos	 		15598
PINACEAE Pinus pinaster	Pinus pinaster		1	Accepted	Pinus pinaster	Aiton	Pinaceae	tropicos;usda	 		15599
PINACEAE Pinus pinea	Pinus pinea		1	Synonym	Apinus pinea	(L.) Neck.	Pinaceae	tropicos	 		15600
CHRYSOBALANACEAE Atuna racemosa Raf.	Atuna racemosa	Raf.	1	No opinion				tropicos	 		15601
PINACEAE Pinus ponderosa	Pinus ponderosa		1	Accepted	Pinus ponderosa	P. Lawson & C. Lawson	Pinaceae	tropicos	 		15602
PINACEAE Pinus sp.	Pinus		0.9	Accepted	Pinus	L.	Pinaceae	tropicos	 		15603
PINACEAE Pinus sylvestris	Pinus sylvestris		1	Accepted	Pinus sylvestris	L.	Pinaceae	tropicos;usda	 		15604
PINACEAE Pinus tabuliformis	Pinus tabuliformis		1	Accepted	Pinus tabuliformis	Carrière	Pinaceae	tropicos;usda	 		15605
PINACEAE Pinus taiwanensis	Pinus taiwanensis		1	Accepted	Pinus taiwanensis	Hayata	Pinaceae	tropicos	 		15606
PINACEAE Pinus thunbergii	Pinus thunbergii		1	Accepted	Pinus thunbergii	Parl.	Pinaceae	tropicos;usda	 		15607
PINACEAE Pinus wallichiana	Pinus wallichiana		1	Accepted	Pinus wallichiana	A.B. Jacks.	Pinaceae	tropicos;usda	 		15608
PIPERACEAE Piper sp.	Piper		0.9	Accepted	Piper	L.	Piperaceae	tropicos	 		15609
SOLANACEAE Capsicum sp.	Capsicum		0.9	Accepted	Capsicum	L.	Solanaceae	tropicos	 		15610
ANACARDIACEAE Pistacia vera	Pistacia vera		1	Accepted	Pistacia vera	L.	Anacardiaceae	tropicos;usda	 		15611
LEGUMINOSAE-PAPILIONOIDEAE Pisum sativum	Pisum sativum		0.9	Accepted	Pisum sativum	L.	Fabaceae	tropicos;usda	 		15612
LEGUMINOSAE-MIMOSOIDEAE Pithecellobium bigeminum	Pithecellobium bigeminum		0.9	Synonym	Feuilleea bigemina	(L.) Kuntze	Fabaceae	tropicos	 		15613
LEGUMINOSAE-MIMOSOIDEAE Pithecellobium dulce	Pithecellobium dulce		0.9	Accepted	Pithecellobium dulce	(Roxb.) Benth.	Fabaceae	tropicos;usda	 		15614
LEGUMINOSAE-MIMOSOIDEAE Pithecellobium saman	Pithecellobium saman		0.9	Synonym	Samanea saman	(Jacq.) Merr.	Fabaceae	tropicos;usda	 		15615
SAPOTACEAE Pouteria australis	Pouteria australis		1	Synonym	Xantolis australis	(R. Br.) Baehni	Sapotaceae	tropicos	 		15616
OCHNACEAE Planchonella myrsinoides	Planchonella myrsinoides		0.6	Synonym	Xantolis myrsinoides	(A. Cunn. ex Benth.) Baehni	Sapotaceae	tropicos	 		15617
ULMACEAE Planera aquatica	Planera aquatica		1	Accepted	Planera aquatica	J.F. Gmel.	Ulmaceae	tropicos;usda	 		15618
PLANTAGINACEAE Plantago lanceolata	Plantago lanceolata		1	Accepted	Plantago lanceolata	L.	Plantaginaceae	tropicos;usda	 		15619
PLANTAGINACEAE Plantago major	Plantago major		1	Accepted	Plantago major	L.	Plantaginaceae	tropicos;usda	 		15620
PLANTAGINACEAE Plantago media	Plantago media		1	Accepted	Plantago media	L.	Plantaginaceae	tropicos;usda	 		15621
PLANTAGINACEAE Plantago ovata	Plantago ovata		1	Accepted	Plantago ovata	Forssk.	Plantaginaceae	tropicos;usda	 		15622
GUTTIFERAE Platonia insignis	Platonia insignis		1	Accepted	Platonia insignis	Mart.	Clusiaceae	tropicos	 		15623
GRAMINEAE Platonia insignis	Platonia insignis		0.6	Accepted	Platonia insignis	Mart.	Clusiaceae	tropicos	 		15624
CAMPANULACEAE Platycodon grandiflorus	Platycodon grandiflorus		1	Accepted	Platycodon grandiflorus	(Jacq.) A. DC.	Campanulaceae	tropicos;usda	 		15625
LABIATAE Plectranthus inflexus	Plectranthus inflexus		1	Synonym	Isodon inflexus	(Thunb.) Kudô	Lamiaceae	tropicos	 		15626
UMBELLIFERAE Pleurospermum camtschaticum	Pleurospermum camtschaticum		1	Synonym	Pleurospermum uralense	Hoffm.	Apiaceae	tropicos	 		15627
EUPHORBIACEAE Plukenetia volubilis	Plukenetia volubilis		1	Accepted	Plukenetia volubilis	L.	Euphorbiaceae	tropicos	 		15628
APOCYNACEAE Plumeria accuminata	Plumeria acuminata		0.99	Synonym	Plumeria rubra	L.	Apocynaceae	tropicos	 		15629
GRAMINEAE Poa pratensis	Poa pratensis		1	Accepted	Poa pratensis	L.	Poaceae	tropicos;usda	 		15630
LABIATAE Pogostemon parviflorus	Pogostemon parviflorus		1	No opinion				tropicos	 		15631
LABIATAE Pogostemon benghalensis	Pogostemon benghalensis		1	Accepted	Pogostemon benghalensis	(Burm. f.) Kuntze	Lamiaceae	tropicos	 		15632
LABIATAE Pogostemon plactranthoides	Pogostemon plectranthoides		0.99	Synonym	Pogostemon benghalensis	(Burm. f.) Kuntze	Lamiaceae	tropicos	 		15633
CAPPARACEAE Polanisia viscosa	Polanisia viscosa		1	Synonym	Arivela viscosa var. viscosa		Cleomaceae	tropicos	 		15634
POLEMONIACEAE Polemonium caeruleum	Polemonium caeruleum		1	Accepted	Polemonium caeruleum	L.	Polemoniaceae	tropicos;usda	 		15635
POLYGALACEAE Polygala virgata	Polygala virgata		1	Synonym	Polygala lancifolia	A. St.-Hil. & Moq.	Polygalaceae	tropicos	 		15636
POLYGONACEAE Polygonum amphibium	Polygonum amphibium		1	Synonym	Persicaria amphibia	(L.) Gray	Polygonaceae	tropicos	 		15637
POLYGONACEAE Polygonum sp.	Polygonum		0.9	Accepted	Polygonum	L.	Polygonaceae	tropicos	 		15638
UMBELLIFERAE Polytaenia nuttali	Polytaenia nuttallii		0.97	Accepted	Polytaenia nuttallii	DC.	Apiaceae	tropicos;usda	 		15639
LEGUMINOSAE-PAPILIONOIDEAE Pongamia glabra	Pongamia glabra		0.9	Illegitimate	Cytisus pinnatus	L.	Fabaceae	tropicos	 		15640
LEGUMINOSAE-PAPILIONOIDEAE Pongamia pinnata	Pongamia pinnata		0.9	Accepted	Pongamia pinnata	(L.) Pierre	Fabaceae	tropicos	 		15641
UMBELLIFERAE Portenschlagiella ramosissima	Portenschlagia ramosissima		0.98	Accepted	Portenschlagia ramosissima	(Port. ex Spreng.) Vis.	Apiaceae	tropicos	 		15642
SAPOTACEAE Pouteria wakere	Pouteria wakere		1	Synonym	Xantolis wakere	(Pancher & Sebert) Baehni	Sapotaceae	tropicos	 		15643
UMBELLIFERAE Prangos acaulis	Prangos acaulis		1	Accepted	Prangos acaulis	Bornm.	Apiaceae	tropicos	 		15644
UMBELLIFERAE Prangos asperula	Prangos		0.6	Accepted	Prangos	Lindl.	Apiaceae	tropicos	 [Partial match] 		15645
UMBELLIFERAE Prangos ferulacea	Prangos ferulacea		1	Accepted	Prangos ferulacea	Lindl.	Apiaceae	tropicos	 		15646
UMBELLIFERAE Prangos pabularia	Prangos pabularia		1	Accepted	Prangos pabularia	Lindl.	Apiaceae	tropicos	 		15647
UMBELLIFERAE Prangos uloptera	Prangos uloptera		1	Accepted	Prangos uloptera	DC.	Apiaceae	tropicos	 		15648
LABIATAE Prasium majus	Prasium majus		1	No opinion				tropicos	 		15649
PRIMULACEAE Primula pulverulenta	Primula pulverulenta		1	Accepted	Primula pulverulenta	Duthie	Primulaceae	tropicos;usda	 		15650
ROSACEAE Prinsepia utilis	Prinsepia utilis		1	Accepted	Prinsepia utilis	Royle	Rosaceae	tropicos	 		15651
PEDALIACEAE Proboscidea altheaefolia	Proboscidea altheifolia		0.98	Accepted	Proboscidea altheifolia	(Benth.) Decne.	Martyniaceae	tropicos	 		15652
LEGUMINOSAE-MIMOSOIDEAE Prosopis alba	Prosopis alba		0.9	Accepted	Prosopis alba	Griseb.	Fabaceae	tropicos;usda	 		15653
LEGUMINOSAE-MIMOSOIDEAE Prosopis argentina	Prosopis argentina		0.9	Accepted	Prosopis argentina	Burkart	Fabaceae	tropicos;usda	 		15654
LEGUMINOSAE-MIMOSOIDEAE Prosopis caldenia	Prosopis caldenia		0.9	Accepted	Prosopis caldenia	Burkart	Fabaceae	tropicos;usda	 		15655
LEGUMINOSAE-MIMOSOIDEAE Prosopis chilensis	Prosopis chilensis		0.9	Accepted	Prosopis chilensis	(Molina) Stuntz	Fabaceae	tropicos;usda	 		15656
LEGUMINOSAE-MIMOSOIDEAE Prosopis flexuosa	Prosopis flexuosa		0.9	Accepted	Prosopis flexuosa	DC.	Fabaceae	tropicos	 		15657
LEGUMINOSAE-MIMOSOIDEAE Prosopis nigra	Prosopis nigra		0.9	Accepted	Prosopis nigra	(Griseb.) Hieron.	Fabaceae	tropicos	 		15658
LEGUMINOSAE-MIMOSOIDEAE Prosopis cineraria	Prosopis cineraria		0.9	Accepted	Prosopis cineraria	(L.) Druce	Fabaceae	tropicos;usda	 		15659
LEGUMINOSAE-MIMOSOIDEAE Prosopis tamarugo	Prosopis tamarugo		0.9	Accepted	Prosopis tamarugo	Phil.	Fabaceae	tropicos	 		15660
PROTEACEAE Beauprea neglecta	Beauprea neglecta		1	No opinion				tropicos	 		15661
PROTEACEAE Cardwellia sublimis	Cardwellia sublimis		1	No opinion				tropicos	 		15662
PROTEACEAE Cenarrhenes nitida	Cenarrhenes nitida		1	Illegitimate				tropicos	 		15663
PROTEACEAE Embothrium coccinium	Embothrium coccineum		0.99	Accepted	Embothrium coccineum	J.R. Forst. & G. Forst.	Proteaceae	tropicos;usda	 		15664
PROTEACEAE Gevuina avellana	Gevuina avellana		1	Accepted	Gevuina avellana	Molina	Proteaceae	tropicos	 		15665
PROTEACEAE Grevillea robusta	Grevillea robusta		1	Accepted	Grevillea robusta	A. Cunn. ex R. Br.	Proteaceae	tropicos;usda	 		15666
PROTEACEAE Hakea salicifolia	Hakea salicifolia		1	Accepted	Hakea salicifolia	(Vent.) B.L. Burtt	Proteaceae	tropicos	 		15667
PROTEACEAE Hicksbeachia pinnatifolia	Hicksbeachia pinnatifolia		1	No opinion				tropicos	 		15668
PROTEACEAE Kermadecia sinuata	Kermadecia sinuata		1	No opinion				tropicos	 		15669
PROTEACEAE Lomatia hirsuta	Lomatia hirsuta		1	Accepted	Lomatia hirsuta	(Lam.) Diels	Proteaceae	tropicos	 		15670
PROTEACEAE Macadamia integrifolia	Macadamia integrifolia		1	Accepted	Macadamia integrifolia	Maiden & Betche	Proteaceae	tropicos;usda	 		15671
PROTEACEAE Macadamia ternifolia	Macadamia ternifolia		1	Accepted	Macadamia ternifolia	F. Muell.	Proteaceae	tropicos	 		15672
PROTEACEAE Orites diversifolia	Orites diversifolius		0.98	No opinion				tropicos	 		15673
PROTEACEAE Orites revoluta	Orites revolutus		0.97	No opinion				tropicos	 		15674
PROTEACEAE Telopea speciosissima	Telopea speciosissima		1	Accepted	Telopea speciosissima	(Sm.) R. Br.	Proteaceae	tropicos	 		15675
PROTEACEAE Telopea truncata	Telopea truncata		1	No opinion				tropicos	 		15676
LABIATAE Prunella asiatica	Prunella asiatica		1	Accepted	Prunella asiatica	Nakai	Lamiaceae	tropicos	 		15677
LABIATAE Prunella vulgaris	Prunella vulgaris		1	Accepted	Prunella vulgaris	L.	Lamiaceae	tropicos;usda	 		15678
LABIATAE Prunella vulgaris var. lanceolata	Prunella vulgaris var. lanceolata		1	Accepted	Prunella vulgaris var. lanceolata	(W.P.C. Barton) Fernald	Lamiaceae	tropicos	 		15679
PROTEACEAE Protea baldigera Meissn.	Protea barbigera	Meisn.	0.96	Synonym	Protea magnifica	Link	Proteaceae	tropicos	 		15680
ROSACEAE Prunus	Prunus		1	Accepted	Prunus	L.	Rosaceae	tropicos	 		15681
ROSACEAE Prunus sp.	Prunus		0.9	Accepted	Prunus	L.	Rosaceae	tropicos	 		15682
ROSACEAE Prunus amygdalus	Prunus amygdalus		1	Synonym	Amygdalus communis	L.	Rosaceae	tropicos	 		15683
ROSACEAE Prunus mahaleb	Prunus mahaleb		1	Accepted	Prunus mahaleb	L.	Rosaceae	tropicos;usda	 		15684
PALMAE Sabal blackburniana	Sabal blackburniana		1	Invalid				tropicos	 		15685
PALMAE Sabal mexicana	Sabal mexicana		1	Accepted	Sabal mexicana	Mart.	Arecaceae	tropicos;usda	 		15686
PALMAE Sabal palmetto	Sabal palmetto		1	Accepted	Sabal palmetto	(Walter) Lodd. ex Schult. & Schult. f.	Arecaceae	tropicos;usda	 		15687
PALMAE Sabal texana	Sabal texana		1	Accepted	Sabal texana	(O.F. Cook) Becc.	Arecaceae	tropicos	 		15688
GRAMINEAE Saccharum officinarum	Saccharum officinarum		1	Accepted	Saccharum officinarum	L.	Poaceae	tropicos;usda	 		15689
PALMAE Salacca edulis	Salacca edulis		1	Illegitimate				tropicos	 [Ambiguous match] 		15690
CHENOPODIACEAE Salicornia sp.	Salicornia		0.9	Accepted	Salicornia	L.	Amaranthaceae	tropicos	 		15691
BOMBACACEAE Salmalia malabarica	Salmalia malabarica		1	Synonym	Bombax ceiba	L.	Malvaceae	tropicos;usda	 		15692
SALVADORACEAE Salvadora oleoides	Salvadora oleoides		1	Accepted	Salvadora oleoides	Decne.	Salvadoraceae	tropicos	 		15693
SALVADORACEAE Salvadora persica	Salvadora persica		1	Accepted	Salvadora persica	L.	Salvadoraceae	tropicos	 		15694
LABIATAE Salvia sclarea	Salvia sclarea		1	Accepted	Salvia sclarea	L.	Lamiaceae	tropicos;usda	 		15695
LABIATAE Salvia sp.	Salvia		0.9	Accepted	Salvia	L.	Lamiaceae	tropicos	 		15696
LABIATAE Salvia plebeia	Salvia plebeia		1	Accepted	Salvia plebeia	R. Br.	Lamiaceae	tropicos	 		15697
LABIATAE Salvia polystachya	Salvia polystachya		1	Illegitimate				tropicos	 [Ambiguous match] 		15698
LABIATAE Salvia genus L.	Salvia		0.6	Accepted	Salvia	L.	Lamiaceae	tropicos	 [Partial match] 		15699
LABIATAE Salvia splendens	Salvia splendens		1	Accepted	Salvia splendens	Sellow ex Wied-Neuw.	Lamiaceae	tropicos	 		15700
LABIATAE Salvia officinalis	Salvia officinalis		1	Accepted	Salvia officinalis	L.	Lamiaceae	tropicos;usda	 		15701
LABIATAE Salvia nilotica	Salvia nilotica		1	Accepted	Salvia nilotica	Juss. ex Jacq.	Lamiaceae	tropicos	 		15702
LABIATAE Salvia acetabulosa var. simplicifolia	Salvia acetabulosa		0.77	Synonym	Megyathus acetabulosum	(L.) Raf.	Lamiaceae	tropicos	 [Partial match] 		15703
LABIATAE Salvia aegyptica	Salvia aegyptiaca		0.99	Accepted	Salvia aegyptiaca	L.	Lamiaceae	tropicos	 		15704
LABIATAE Salvia aethiopis	Salvia aethiopis		1	Accepted	Salvia aethiopis	L.	Lamiaceae	tropicos;usda	 		15705
LABIATAE Salvia amplexicaulis	Salvia amplexicaulis		1	Synonym	Salvia x sylvestris subsp. amplexicaulis	(Lam.) Nyman	Lamiaceae	tropicos	 		15706
LABIATAE Salvia apiana	Salvia apiana		1	Accepted	Salvia apiana	Jeps.	Lamiaceae	tropicos;usda	 		15707
LABIATAE Salvia bicolor	Salvia bicolor		1	Synonym	Sclarea bicolor	(Lam.) Soják	Lamiaceae	tropicos	 		15708
LABIATAE Salvia brachyntha	Salvia brachyantha		0.99	Accepted	Salvia brachyantha	(Bordz.) Pobed.	Lamiaceae	tropicos	 		15709
LABIATAE Salvia bracteata	Salvia bracteata		1	No opinion				tropicos	 [Ambiguous match] 		15710
LABIATAE Salvia carduacea	Salvia carduacea		1	Accepted	Salvia carduacea	Benth.	Lamiaceae	tropicos;usda	 		15711
LABIATAE Salvia ceratophylla	Salvia ceratophylla		1	Synonym	Sclarea ceratophylla	(L.) Mill.	Lamiaceae	tropicos	 		15712
LABIATAE Salvia coccinea	Salvia coccinea		1	Accepted	Salvia coccinea	Buc'hoz ex Etl.	Lamiaceae	tropicos	 		15713
LABIATAE Salvia columbariae	Salvia columbariae		1	Accepted	Salvia columbariae	Benth.	Lamiaceae	tropicos;usda	 		15714
LABIATAE Salvia cryptantha	Salvia cryptantha		1	Illegitimate				tropicos	 		15715
LABIATAE Salvia euphratica	Salvia euphratica		1	No opinion				tropicos	 		15716
LABIATAE Salvia farinacea	Salvia farinacea		1	Accepted	Salvia farinacea	Benth.	Lamiaceae	tropicos;usda	 		15717
LABIATAE Salvia glabricaulis	Salvia glabricaulis		1	No opinion				tropicos	 		15718
LABIATAE Salvia glutinosa	Salvia glutinosa		1	Synonym	Salvia nubicola	Wall. ex Sweet	Lamiaceae	tropicos	 		15719
LABIATAE Salvia grandiflora	Salvia grandiflora		1	Synonym	Salvia tomentosa	Mill.	Lamiaceae	tropicos	 		15720
LABIATAE Salvia hispanica	Salvia hispanica		1	Accepted	Salvia hispanica	L.	Lamiaceae	tropicos;usda	 		15721
LABIATAE Salvia horminum	Salvia horminum		1	Synonym	Ormilis horminum	(L.) Raf.	Lamiaceae	tropicos	 		15722
LABIATAE Salvia hidrangea	Salvia hydrangea		0.99	Synonym	Salvia bucharica	Popov	Lamiaceae	tropicos	 		15723
LABIATAE Salvia judaica	Salvia judaica		1	No opinion				tropicos	 		15724
LABIATAE Salvia lanigera	Salvia lanigera		1	Synonym	Salvia verbenaca subsp. lanigera	(Poir.) O. Bolòs & Vigo	Lamiaceae	tropicos	 		15725
LABIATAE Salvia lavandulifolia	Salvia lavandulifolia		1	Synonym	Salvia officinalis var. lavandulifolia	(Vahl) O. Bolòs & Vigo	Lamiaceae	tropicos	 		15726
LABIATAE Salvia longispicata	Salvia longispicata		1	Accepted	Salvia longispicata	M. Martens & Galeotti	Lamiaceae	tropicos	 		15727
LABIATAE Salvia lyrata	Salvia lyrata		1	Accepted	Salvia lyrata	L.	Lamiaceae	tropicos;usda	 		15728
LABIATAE Salvia mexicana	Salvia mexicana		1	Accepted	Salvia mexicana	L.	Lamiaceae	tropicos	 		15729
LABIATAE Salvia montbretii	Salvia montbretii		1	No opinion				tropicos	 		15730
LABIATAE Salvia moorcraftiana	Salvia moorcroftiana		0.99	Accepted	Salvia moorcroftiana	Wall. ex Benth.	Lamiaceae	tropicos	 		15731
LABIATAE Salvia nemorosa	Salvia nemorosa		1	Accepted	Salvia nemorosa	L.	Lamiaceae	tropicos	 		15732
LABIATAE Salvia pratensis	Salvia pratensis		1	Accepted	Salvia pratensis	L.	Lamiaceae	tropicos;usda	 		15733
LABIATAE Salvia pratensis L.	Salvia pratensis	L.	1	Accepted	Salvia pratensis	L.	Lamiaceae	tropicos;usda	 		15734
LABIATAE Salvia przewalski Maxim.	Salvia przewalski	Y.H.Wu	0.82	No opinion				tropicos	 		15735
LABIATAE Salvia reflexa	Salvia reflexa		1	Accepted	Salvia reflexa	Hornem.	Lamiaceae	tropicos;usda	 		15736
LABIATAE Salvia regeliana L.	Salvia regeliana	Trautv.	0.8	No opinion				tropicos	 		15737
LABIATAE Salvia ringens	Salvia ringens		1	No opinion				tropicos	 [Ambiguous match] 		15738
LABIATAE Salvia rosaefolia	Salvia rosifolia		0.98	Synonym	Rhodormis rosifolia	(Sm.) Raf.	Lamiaceae	tropicos	 		15739
LABIATAE Salvia rugosa	Salvia rugosa		1	Synonym	Salvia disermas	L.	Lamiaceae	tropicos	 		15740
LABIATAE Salvia similata	Salvia similata		1	No opinion				tropicos	 		15741
LABIATAE Salvia sonomensis	Salvia sonomensis		1	Accepted	Salvia sonomensis	Greene	Lamiaceae	tropicos;usda	 		15742
LABIATAE Salvia spinosa	Salvia spinosa		1	Synonym	Sclarea spinosa	(L.) Raf.	Lamiaceae	tropicos	 		15743
LABIATAE Salvia splendens Sellow.	Salvia splendens	Sellow ex Wied-Neuw.	0.91	Accepted	Salvia splendens	Sellow ex Wied-Neuw.	Lamiaceae	tropicos	 		15744
LABIATAE Salvia suffruticosa	Salvia suffruticosa		1	No opinion				tropicos	 		15745
LABIATAE Salvia sylvestris	Salvia sylvestris		1	Accepted	Salvia sylvestris	L.	Lamiaceae	tropicos	 		15746
LABIATAE Salvia syriaca	Salvia syriaca		1	Synonym	Sclarea syriaca	(L.) Mill.	Lamiaceae	tropicos	 		15747
LABIATAE Salvia tchihatcheffii	Salvia tchihatcheffii		1	Accepted	Salvia tchihatcheffii	(Fisch. & C.A. Mey.) Boiss.	Lamiaceae	tropicos	 		15748
LABIATAE Salvia texana	Salvia texana		1	Accepted	Salvia texana	(Scheele) Torr.	Lamiaceae	tropicos;usda	 		15749
LABIATAE Salvia triloba	Salvia triloba		1	Synonym	Sclarea triloba	(L. f.) Raf.	Lamiaceae	tropicos	 		15750
LABIATAE Salvia valentina	Salvia valentina		1	Synonym	Salvia nemorosa subsp. valentina	(Vahl) O. Bolòs & al.	Lamiaceae	tropicos	 		15751
LABIATAE Salvia verbenaca	Salvia verbenaca		1	Accepted	Salvia verbenaca	L.	Lamiaceae	tropicos;usda	 		15752
LABIATAE Salvia virgata	Salvia virgata		1	Illegitimate				tropicos	 [Ambiguous match] 		15753
CAPRIFOLIACEAE Sambucus ebulus	Sambucus ebulus		1	Accepted	Sambucus ebulus	L.	Adoxaceae	tropicos;usda	 		15754
CAPRIFOLIACEAE Sambucus nigra	Sambucus nigra		1	Accepted	Sambucus nigra	L.	Adoxaceae	tropicos;usda	 		15755
CAPRIFOLIACEAE Sambucus racemosa	Sambucus racemosa		1	Accepted	Sambucus racemosa	L.	Adoxaceae	tropicos;usda	 		15756
MELIACEAE Sandoricum koetjape	Sandoricum koetjape		1	Accepted	Sandoricum koetjape	(Burm. f.) Merr.	Meliaceae	tropicos;usda	 		15757
GRAMINEAE Sanguinaria canadensis	Sanguinaria canadensis		0.6	Accepted	Sanguinaria canadensis	L.	Papaveraceae	tropicos;usda	 		15758
