Pub ID	TAB	Measure	Name	Value	Unit
18115	TAB_002854	FattyAcid	18:3-delta-9c,11t,13t	78.30     	GLC-Area-%
14650	TAB_002855	FattyAcid	18:3-delta-9c,11t,13t	67.10     	GLC-Area-%
23493	TAB_002856	FattyAcid	18:3-delta-9c,11t,13t	82.00     	GLC-Area-%
16256	TAB_002857	FattyAcid	18:3-delta-9c,11t,13t	82.00     	GLC-Area-%
16378	TAB_002862	FattyAcid	18:3-delta-9c,11t,13t	39.00     	GLC-Area-%
12143	TAB_002864	FattyAcid	18:3-delta-9c,11t,13t	50.00     	GLC-Area-%
10227	TAB_006977	FattyAcid	18:3-delta-9c,11t,13t	23.20     	GLC-Area-%
20738	TAB_002898	FattyAcid	18:1-delta-6c	12.30     	GLC-Area-%
18324	TAB_002951	FattyAcid	18:1-delta-6c	47.50     	GLC-Area-%
18325	TAB_002952	FattyAcid	18:1-delta-6c	62.20     	GLC-Area-%
18326	TAB_002953	FattyAcid	18:1-delta-6c	60.80     	GLC-Area-%
18327	TAB_002993	FattyAcid	18:1-delta-6c	81.60     	GLC-Area-%
10229	TAB_008638	FattyAcid	18:1-delta-6c	0.20      	GLC-Area-%
18328	TAB_002994	FattyAcid	18:1-delta-6c	78.00     	GLC-Area-%
12431	TAB_002995	FattyAcid	18:1-delta-6c	81.90     	GLC-Area-%
19685	TAB_002996	FattyAcid	18:1-delta-6c	44.80     	GLC-Area-%
16347	TAB_002997	FattyAcid	18:1-delta-6c	81.60     	GLC-Area-%
18329	TAB_002998	FattyAcid	18:1-delta-6c	38.00     	GLC-Area-%
18330	TAB_002999	FattyAcid	18:1-delta-6c	42.70     	GLC-Area-%
11762	TAB_009607	FattyAcid	18:1-delta-6c	38.50     	GLC-Area-%
10284	TAB_008740	FattyAcid	18:1-delta-6c	61.10     	GLC-Area-%
10285	TAB_008741	FattyAcid	18:1-delta-6c	61.10     	GLC-Area-%
20360	TAB_009736	FattyAcid	18:1-delta-6c	79.60     	GLC-Area-%
21572	TAB_009738	FattyAcid	18:1-delta-6c	79.90     	Mol%
10223	TAB_008764	FattyAcid	18:1-delta-6c	56.30     	GLC-Area-%
10288	TAB_008765	FattyAcid	18:1-delta-6c	37.10     	GLC-Area-%
10289	TAB_008766	FattyAcid	18:1-delta-6c	2.40      	GLC-Area-%
10293	TAB_008784	FattyAcid	18:1-delta-6c	24.80     	GLC-Area-%
10294	TAB_008785	FattyAcid	18:1-delta-6c	65.30     	GLC-Area-%
12156	TAB_008803	FattyAcid	18:3-delta-9c,11t,13t	23.80     	GLC-Area-%
